time, yaw, pos, vel
23877044, 0.000000, 0.000000, 0.000000
23877054, 0.000000, 0.000000, 0.000000
23877064, 0.000000, 0.000000, 0.000000
23877074, -2.478786, 0.000000, 0.000000
23877084, -2.478786, 0.000000, 0.000000
23877094, -2.478786, 0.000000, 0.000000
23877104, -2.479118, 0.000000, 0.000000
23877114, -2.479118, 0.000000, 0.000000
23877124, -2.479118, 0.000000, 0.000000
23877134, -2.479362, 0.000000, 0.000000
23877144, -2.479362, 0.000000, 0.000000
23877154, -2.479362, 0.000000, 0.000000
23877164, -2.479676, 0.000000, 0.000000
23877174, -2.479676, 0.000000, 0.000000
23877184, -2.479676, 0.000000, 0.000000
23877194, -2.480095, 0.000000, 0.000000
23877204, -2.480095, 0.000000, 0.000000
23877214, -2.480095, 0.000000, 0.000000
23877224, -2.480305, 0.000000, 0.000000
23877234, -2.480305, 0.000000, 0.000000
23877244, -2.480305, 0.000000, 0.000000
23877254, -2.480549, 0.000000, 0.000000
23877264, -2.480549, 0.000000, 0.000000
23877274, -2.480549, 0.000000, 0.000000
23877284, -2.480741, 0.000000, 0.000000
23877294, -2.480741, 0.000000, 0.000000
23877304, -2.480741, 0.000000, 0.000000
23877314, -2.480951, 0.000000, 0.000000
23877324, -2.480951, 0.000000, 0.000000
23877334, -2.480951, 0.000000, 0.000000
23877344, -2.481125, 0.000000, 0.000000
23877354, -2.481125, 0.000000, 0.000000
23877364, -2.481125, 0.000000, 0.000000
23877374, -2.481352, 0.000000, 0.000000
23877384, -2.481352, 0.000000, 0.000000
23877394, -2.481352, 0.000000, 0.000000
23877404, -2.481631, 0.000000, 0.000000
23877414, -2.481631, 0.000000, 0.000000
23877424, -2.481631, 0.000000, 0.000000
23877434, -2.481858, 0.000000, 0.000000
23877444, -2.481858, 0.000000, 0.000000
23877454, -2.482015, 0.000000, 0.000000
23877464, -2.482015, 0.000000, 0.000000
23877474, -2.482015, 0.000000, 0.000000
23877484, -2.482103, 0.000000, 0.000000
23877494, -2.482312, 0.000000, 0.000000
23877504, -2.482312, 0.000000, 0.000000
23877514, -2.482661, 0.000000, 0.000000
23877524, -2.482661, 0.000000, 0.000000
23877534, -2.482661, 0.000000, 0.000000
23877544, -2.482853, 0.000000, 0.000000
23877554, -2.482853, 0.000000, 0.000000
23877564, -2.482853, 0.000000, 0.000000
23877574, -2.483063, 0.000000, 0.000000
23877584, -2.483063, 0.000000, 0.000000
23877594, -2.483063, 0.000000, 0.000000
23877604, -2.483394, 0.000000, 0.000000
23877614, -2.483394, 0.000000, 0.000000
23877624, -2.483394, 0.000000, 0.000000
23877634, -2.483394, 0.000000, 0.000000
23877644, -2.483673, 0.000000, 0.000000
23877654, -2.483673, 0.000000, 0.000000
23877664, -2.483673, 0.000000, 0.000000
23877674, -2.483883, 0.000000, 0.000000
23877684, -2.483883, 0.000000, 0.000000
23877694, -2.483883, 0.000000, 0.000000
23877704, -2.483935, 0.000000, 0.000000
23877714, -2.483935, 0.000000, 0.000000
23877724, -2.483935, 0.000000, 0.000000
23877734, -2.483063, 0.000000, 0.000000
23877744, -2.483063, 0.000000, 0.000000
23877754, -2.483063, 0.000000, 0.000000
23877764, -2.467128, 0.000000, 0.000000
23877774, -2.467128, 0.000000, 0.000000
23877784, -2.467128, 0.000000, 0.000000
23877794, -2.361343, 0.000000, 0.000000
23877804, -2.361343, 0.425768, 0.000000
23877814, -2.361343, 0.425768, 139.355560
23877824, -2.092318, 0.808619, 19.142572
23877834, -2.092318, 0.808619, 19.142572
23877844, -2.092318, 0.808619, 0.000000
23877854, -1.739203, 1.138497, 16.493853
23877864, -1.739203, 1.138497, 16.493853
23877874, -1.739203, 1.138497, 0.000000
23877884, -1.370764, 1.401538, 13.152086
23877894, -1.370764, 1.401538, 13.152086
23877904, -1.370764, 1.401538, 0.000000
23877914, -0.979618, 1.610487, 10.447448
23877924, -0.979618, 1.610487, 10.447448
23877934, -0.979618, 1.610487, 0.000000
23877944, -0.572101, 1.739268, 6.439028
23877954, -0.572101, 1.739268, 6.439028
23877964, -0.572101, 1.739268, 0.000000
23877974, -0.350951, 1.761018, 1.087490
23877984, -0.350951, 1.761018, 1.087490
23877994, -0.350951, 1.761018, 0.000000
23878004, -0.263039, 1.758327, -0.134515
23878014, -0.263039, 1.758327, -0.134515
23878024, -0.263039, 1.758327, 0.000000
23878034, -0.192196, 1.750935, -0.369604
23878044, -0.192196, 1.750935, -0.369604
23878054, -0.192196, 1.750935, 0.000000
23878064, -0.136886, 1.741705, -0.461514
23878074, -0.136886, 1.741705, -0.461514
23878084, -0.136886, 1.741705, 0.000000
23878094, -0.118543, 1.737942, -0.188130
23878104, -0.118543, 1.737942, -0.188130
23878114, -0.118543, 1.737942, 0.000000
23878124, -0.111841, 1.736478, -0.073211
23878134, -0.111841, 1.736478, -0.073211
