time,tics,rev,speed
6264117,0,0,0.000000
6264117,0,0,0.000000
6264117,0,0,0.000000
6264117,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
6264118,0,0,0.000000
