time, tics, freq
7.8992,1747,0.002
7.9035,1752,0.002
7.9035,1752,0.002
7.9119,1762,0.002
7.9162,1767,0.002
7.9635,1819,0.002
7.98,1839,0.002
7.98,1839,0.002
7.99,1851,0.002
7.99,1855,0.002
7.99,1856,0.002
7.99,1861,0.002
7.9974,1860,0.002
8.0016,1865,0.002
8.0101,1875,0.002
8.0143,1879,0.002
8.0143,1879,0.002
8.0186,1884,0.002
8.0186,1884,0.002
8.0228,1889,0.002
8.0228,1889,0.002
8.0271,1895,0.002
8.031,1900,0.002
8.0355,1904,0.002
8.0355,1904,0.002
8.0525,1926,0.002
8.0567,1931,0.002
8.06,1934,0.002
8.06,1935,0.002
8.06,1944,0.002
8.065,1940,0.002
8.065,1940,0.002
8.065,1940,0.002
8.065,1940,0.002
8.078,1957,0.002
8.078,1957,0.002
8.0865,1967,0.002
8.0865,1967,0.002
8.0907,1971,0.002
8.0907,1971,0.002
8.0949,1976,0.002
8.1034,1987,0.002
8.1034,1987,0.002
8.1077,1992,0.002
8.1077,1992,0.002
8.1119,1997,0.002
8.1119,1997,0.002
8.1204,2008,0.002
8.1246,2013,0.002
8.1246,2013,0.002
8.133,2022,0.002
8.133,2022,0.002
8.1373,2026,0.002
8.1373,2026,0.002
8.1416,2031,0.002
8.1416,2031,0.002
8.1458,2038,0.002
8.1501,2043,0.002
8.1501,2043,0.002
8.158,2052,0.002
8.158,2053,0.002
8.1628,2059,0.002
8.1755,2075,0.002
8.1755,2075,0.002
8.1797,2080,0.002
8.184,2084,0.002
8.184,2085,0.002
8.1882,2089,0.002
8.1882,2089,0.002
8.2,2104,0.002
8.2051,2111,0.002
8.222,2132,0.002
8.222,2132,0.002
8.222,2132,0.002
8.2263,2137,0.002
8.2263,2137,0.002
8.2348,2148,0.002
8.239,2153,0.002
8.239,2153,0.002
8.239,2153,0.002
8.2475,2164,0.002
8.2517,2169,0.002
8.256,2175,0.002
8.256,2175,0.002
8.256,2176,0.002
8.256,2176,0.002
8.2602,2180,0.002
8.2602,2180,0.002
8.2645,2185,0.002
8.272,2195,0.002
8.2772,2202,0.002
8.2772,2202,0.002
8.2814,2207,0.002
8.2814,2207,0.002
8.2856,2211,0.002
8.2856,2211,0.002
8.302,2232,0.002
8.306866,2237,0.002
8.3111,2243,0.002
8.3111,2243,0.002
8.3195679999999,2254,0.002
8.3238,2259,0.002
8.3238,2259,0.002
8.328,2263,0.002
8.328,2263,0.002
8.332,2268,0.002
8.332,2268,0.002
8.332,2268,0.002
8.3365,2273,0.002
8.3407,2279,0.002
8.3407,2279,0.002
8.3449,2283,0.002
8.3534,2293,0.002
8.3576,2297,0.002
8.3619,2302,0.002
8.3746,2318,0.002
8.3746,2318,0.002
8.3788,2323,0.002
8.3788,2323,0.002
8.3873,2333,0.002
8.3873,2333,0.002
8.4,2348,0.002
8.4,2348,0.002
8.4,2348,0.002
8.4,2353,0.002
8.4085,2357,0.002
8.4085,2357,0.002
8.412,2361,0.002
8.417,2367,0.002
8.4213,2372,0.002
8.4255,2377,0.002
8.4297,2382,0.002
8.434,2386,0.002
8.434,2386,0.002
8.434,2386,0.002
8.438,2390,0.002
8.438,2390,0.002
8.4424,2395,0.002
8.4551,2411,0.002
8.4551,2411,0.002
8.4721,2431,0.002
8.4763,2435,0.002
8.4805,2441,0.002
8.4805,2441,0.002
8.4848,2446,0.002
8.4975,2459,0.002
8.5017,2464,0.002
8.5017,2464,0.002
8.506,2470,0.002
8.506,2470,0.002
8.506,2471,0.002
8.5144,2478,0.002
8.5187,2483,0.002
8.5187,2483,0.002
8.5229,2489,0.002
8.5314,2499,0.002
8.5314,2499,0.002
8.5356,2504,0.002
8.5356,2504,0.002
8.5441,2514,0.002
8.561,2535,0.002
8.561,2535,0.002
8.561,2536,0.002
8.5695,2546,0.002
8.5695,2546,0.002
8.5738,2552,0.002
8.578,2557,0.002
8.578,2557,0.002
8.5823,2562,0.002
8.5823,2562,0.002
8.59,2571,0.002
8.59,2572,0.002
8.59,2583,0.002
8.595,2578,0.002
8.595,2579,0.002
8.5992,2583,0.002
8.5992,2583,0.002
8.6034,2586,0.002
8.6077,2591,0.002
8.6077,2591,0.002
8.6204,2606,0.002
8.6246,2612,0.002
8.6246,2612,0.002
8.6288,2617,0.002
8.6288,2617,0.002
8.6416,2632,0.002
8.6501,2643,0.002
8.6501,2643,0.002
8.6543,2648,0.002
8.6585,2653,0.002
8.6628,2659,0.002
8.6628,2659,0.002
8.667,2664,0.002
8.667,2664,0.002
8.6713,2668,0.002
8.675,2672,0.002
8.6797,2678,0.002
8.684,2684,0.002
8.6882,2690,0.002
8.7009,2704,0.002
8.7009,2704,0.002
8.705,2710,0.002
8.705,2710,0.002
8.705,2711,0.002
8.7094,2715,0.002
8.7136,2720,0.002
8.7178,2725,0.002
8.7178,2725,0.002
8.7263,2735,0.002
8.7263,2735,0.002
8.7305,2740,0.002
8.739,2749,0.002
8.739,2749,0.002
8.739,2750,0.002
8.756,2770,0.002
8.756,2770,0.002
8.756,2770,0.002
8.756,2771,0.002
8.7602,2775,0.002
8.7602,2775,0.002
8.7644,2780,0.002
8.768,2785,0.002
8.768,2785,0.002
8.7729,2791,0.002
8.7771,2796,0.002
8.7771,2796,0.002
8.7814,2801,0.002
8.7856,2805,0.002
8.7941,2814,0.002
8.7983,2820,0.002
8.8026,2826,0.002
8.8026,2826,0.002
8.8068,2831,0.002
8.811,2836,0.002
8.8195,2846,0.002
8.828,2856,0.002
8.828,2856,0.002
8.8322,2861,0.002
8.8365,2866,0.002
8.8365,2866,0.002
8.8407,2872,0.002
8.8407,2872,0.002
8.853,2885,0.002
8.853,2886,0.002
8.8576,2891,0.002
8.861,2895,0.002
8.861,2895,0.002
8.866155,2901,0.002
8.8746,2910,0.002
8.8788,2915,0.002
8.8831,2921,0.002
8.887,2926,0.002
8.887,2926,0.002
8.8915,2931,0.002
8.8957,2936,0.002
8.9,2941,0.002
8.9,2942,0.002
8.9,2950,0.002
8.912,2956,0.002
8.912,2956,0.002
8.912,2957,0.002
8.9169,2961,0.002
8.9169,2961,0.002
8.9212,2966,0.002
8.9212,2966,0.002
8.9296,2977,0.002
8.9296,2977,0.002
8.9339,2982,0.002
8.9381,2987,0.002
8.9381,2987,0.002
8.9423,2992,0.002
8.9423,2992,0.002
8.9466,2997,0.002
8.9508,3002,0.002
8.9508,3002,0.002
8.9593,3014,0.002
8.9635,3018,0.002
8.9678,3023,0.002
8.9678,3023,0.002
8.972,3028,0.002
8.972,3028,0.002
8.9762,3034,0.002
8.9805,3039,0.002
8.9805,3039,0.002
8.9932,3054,0.002
8.9932,3054,0.002
9.0017,3065,0.002
9.0059,3071,0.002
9.0059,3071,0.002
9.0101,3076,0.002
9.0144,3080,0.002
9.0228,3091,0.002
9.0313,3102,0.002
